순위,제목,아티스트
1위,소문의 낙원,AKMU (악뮤)
2위,"기쁨, 슬픔, 아름다운 마음",AKMU (악뮤)
3위,REDRED,CORTIS (코르티스)
4위,RUDE!,Hearts2Hearts (하츠투하츠)
5위,It′s Me,아일릿(ILLIT)
6위,BANG BANG,IVE (아이브)
7위,사랑하게 될 거야,한로로
8위,캐치 캐치,YENA (최예나)
9위,404 (New Era),KiiiKiii (키키)
10위,Drowning,WOODZ
11위,0+0,한로로
12위,SWIM,방탄소년단
13위,Good Goodbye,화사 (HWASA)
14위,타임캡슐,다비치
15위,Popcorn,도경수(D.O.)
16위,너에게 닿기를,10CM
17위,멸종위기사랑,이찬혁
18위,Body to Body,방탄소년단
19위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
20위,그대 작은 나의 세상이 되어,카더가든
21위,어제보다 슬픈 오늘,우디 (Woody)
22위,Blue Valentine,NMIXX
23위,너의 모든 순간,성시경
24위,뛰어(JUMP),BLACKPINK
25위,Golden,HUNTR/X
26위,모르시나요(PROD.로코베리),조째즈
27위,2,방탄소년단
28위,toxic till the end,로제 (ROSÉ)
29위,내게 사랑이 뭐냐고 물어본다면,로이킴
30위,천상연,이창섭
31위,Hooligan,방탄소년단
32위,소나기,이클립스 (ECLIPSE)
33위,봄날,방탄소년단
34위,BLACKHOLE,IVE (아이브)
35위,"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)",김하온 (HAON)
36위,Whiplash,aespa
37위,HAPPY,DAY6 (데이식스)
38위,Seven (feat. Latto) - Clean Ver.,정국
39위,청춘만화,이무진
40위,한 페이지가 될 수 있게,DAY6 (데이식스)
41위,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
42위,like JENNIE,제니 (JENNIE)
43위,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
44위,첫 만남은 계획대로 되지 않아,TWS (투어스)
45위,사랑인가 봐,멜로망스
46위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
47위,나는 반딧불,황가람
48위,청혼하지 않을 이유를 못 찾았어,이무진
49위,Love Love Love (Feat. Yoong Jin Of Casker),에픽하이 (EPIK HIGH)
50위,사랑은 늘 도망가,임영웅
51위,예뻤어,DAY6 (데이식스)
52위,주저하는 연인들을 위해,잔나비
53위,SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM (르세라핌)
54위,눈을 감아도(2026),순순희(지환)
55위,OVERDRIVE,TWS (투어스)
56위,이 밤을 빌려 말해요,PLAVE
57위,FYA,방탄소년단
58위,사랑은 봄비처럼...이별은 겨울비처럼...,임현정
59위,KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki),NOWIMYOUNG (나우아임영)
60위,Welcome to the Show,DAY6 (데이식스)
61위,FAMOUS,ALLDAY PROJECT
62위,Flower,오반(OVAN)
63위,Ode to Love,NCT WISH
64위,APT.,로제 (ROSÉ)
65위,달리 표현할 수 없어요,로이킴
66위,STYLE,Hearts2Hearts (하츠투하츠)
67위,시작의 아이 ❍,박다혜
68위,오늘만 I LOVE YOU,BOYNEXTDOOR
69위,다정히 내 이름을 부르면,경서예지
70위,Love wins all,아이유
71위,REBEL HEART,IVE (아이브)
72위,Aliens,방탄소년단
73위,Like Animals,방탄소년단
74위,헤어지자 말해요,박재정
75위,Dynamite,방탄소년단
76위,ONE MORE TIME,ALLDAY PROJECT
77위,FOCUS,Hearts2Hearts (하츠투하츠)
78위,Die With A Smile,Lady Gaga
79위,Merry Go Round,방탄소년단
80위,하루에 하루만 더 (Stick With You),투모로우바이투게더
81위,One More Night,방탄소년단
82위,Please,방탄소년단
83위,Never Ending Story,아이유
84위,Magnetic,아일릿(ILLIT)
85위,Flashback,엔플라잉 (N.Flying)
86위,Into the Sun,방탄소년단
87위,they don’t know ’bout us,방탄소년단
88위,흥흥흥 (feat. SOLE),PLAVE
89위,NOT CUTE ANYMORE,아일릿(ILLIT)
90위,Born Savage,PLAVE
91위,Soda Pop,KPop Demon Hunters Cast
92위,에피소드,이무진
93위,봄 내음보다 너를,김나영
94위,그런 것 같아,PLAVE
95위,I AM,IVE (아이브)
96위,순간을 영원처럼,임영웅
97위,Sticky,NCT WISH
98위,Lunar Hearts,PLAVE
99위,시작의 아이,마크툽 (MAKTUB)
100위,Hype Boy,NewJeans
